Timestamp(us), ax, ay, az, gx, gy, gz
1429274444,-918,726,1656,6,-10,-9
1429294433,-916,724,1657,8,-5,-9
1429314422,-915,730,1661,8,-1,-8
1429334411,-920,733,1661,7,3,-9
1429354400,-919,734,1655,7,6,-12
1429374389,-919,736,1652,7,6,-14
1429394378,-915,736,1649,6,3,-13
1429414367,-919,737,1654,4,2,-13
1429434356,-922,737,1655,5,4,-12
1429454345,-920,737,1656,2,3,-11
1429474334,-919,732,1657,1,3,-7
1429494323,-918,731,1654,2,4,-7
1429514312,-919,732,1652,1,4,-5
1429534301,-923,735,1651,2,4,-4
1429554290,-926,737,1658,4,5,-7
1429574279,-920,733,1648,3,6,-11
1429594268,-915,731,1645,7,6,-8
1429614257,-923,733,1651,10,4,-2
1429634246,-926,736,1653,12,4,-2
1429654235,-928,736,1658,11,8,-4
1429674224,-920,740,1649,11,12,-5
1429694213,-925,743,1648,11,11,-4
1429714202,-924,745,1649,10,3,-5
1429734191,-921,745,1648,9,-2,-6
1429754180,-923,742,1654,6,-2,-3
1429774169,-919,742,1650,5,4,-5
1429794158,-917,738,1648,5,11,-4
1429814147,-918,739,1650,5,11,-4
1429834136,-925,741,1648,8,7,-4
1429854125,-926,740,1645,10,7,-5
1429874114,-924,739,1642,11,9,-6
1429894104,-928,741,1644,11,11,-7
1429914093,-927,746,1646,12,14,-9
1429934082,-928,746,1645,13,16,-9
1429954071,-926,745,1644,13,16,-8
1429974060,-928,746,1643,13,15,-6
1429994049,-923,744,1643,13,12,-2
1430014038,-925,747,1646,12,12,2
1430034027,-927,753,1646,11,11,3
1430054016,-924,757,1648,9,11,0
1430074005,-926,758,1647,5,13,-1
1430093994,-925,762,1643,0,15,-2
1430113983,-930,757,1644,-4,11,-4
1430133972,-931,761,1642,-12,7,-4
1430153961,-928,753,1645,-18,5,-4
1430173950,-926,747,1636,-26,4,-1
1430193939,-928,747,1644,-30,0,2
1430213928,-925,744,1645,-32,-5,4
1430233917,-928,745,1641,-34,-3,6
1430253906,-930,749,1642,-35,0,7
1430273895,-933,749,1640,-35,-3,8
1430293884,-930,752,1640,-34,-7,6
1430313873,-931,749,1644,-33,-9,2
1430333862,-932,747,1641,-28,-7,3
1430353851,-933,749,1645,-23,-2,4
1430373840,-933,749,1645,-21,-2,0
1430393829,-934,747,1648,-22,-5,-4
1430413818,-928,747,1645,-21,-7,-7
1430433807,-927,745,1646,-22,-10,-6
1430453796,-925,741,1647,-26,-15,-8
1430473785,-922,740,1649,-28,-16,-10
1430493774,-925,738,1649,-30,-14,-7
1430513763,-922,735,1648,-33,-12,-5
1430533752,-920,737,1646,-33,-8,-3
1430553741,-917,741,1647,-32,-10,-3
1430573730,-920,739,1651,-32,-13,-5
1430593719,-926,735,1647,-32,-12,-9
1430613708,-926,735,1654,-32,-12,-10
1430633697,-926,733,1649,-33,-14,-11
1430653686,-923,734,1648,-34,-14,-11
1430673675,-922,734,1653,-34,-14,-11
1430693664,-919,733,1656,-32,-16,-9
1430713653,-916,732,1657,-33,-19,-6
1430733642,-916,728,1660,-33,-21,-6
1430753631,-917,725,1656,-33,-22,-4
1430773620,-919,726,1657,-31,-21,-4
