Timestamp(us), ax, ay, az, gx, gy, gz
23826904,-46,48,2034,-10,-8,-3
23846893,-41,46,2037,-11,-8,-2
23866882,-48,47,2037,-11,-7,-3
23886871,-48,47,2037,-11,-7,-3
23906860,-48,44,2036,-11,-7,-3
23926849,-48,46,2037,-11,-7,-2
23946838,-49,48,2036,-11,-7,-2
23966827,-49,49,2034,-11,-8,-3
23986816,-48,45,2034,-9,-7,-3
24006805,-47,46,2038,-12,-7,-3
24026794,-45,47,2037,-11,-7,-2
24046783,-45,48,2035,-11,-9,-3
24066772,-47,47,2037,-10,-8,-3
24086761,-44,45,2039,-11,-7,-3
24106750,-46,48,2035,-11,-8,-2
24126739,-50,48,2033,-10,-8,-2
24146728,-50,45,2034,-11,-7,-4
24166717,-48,47,2035,-10,-8,-3
24186706,-48,51,2035,-9,-7,-2
24206695,-47,46,2036,-11,-7,-3
24226684,-48,43,2035,-10,-7,-2
24246673,-47,46,2038,-11,-7,-3
24266662,-47,47,2035,-11,-7,-3
24286651,-48,46,2039,-11,-8,-3
24306640,-46,44,2036,-12,-7,-3
24326629,-45,48,2030,-11,-8,-2
24346618,-45,46,2033,-10,-8,-3
24366607,-48,49,2032,-11,-7,-2
24386596,-47,47,2033,-11,-8,-2
24406585,-46,47,2031,-11,-7,-3
24426574,-46,47,2031,-10,-6,-3
24446563,-48,49,2036,-10,-6,-3
24466552,-47,48,2037,-10,-7,-3
24486541,-44,47,2034,-11,-7,-3
24506530,-46,49,2032,-11,-8,-4
24526519,-47,51,2034,-11,-8,-3
24546508,-45,47,2037,-11,-7,-2
24566497,-50,45,2037,-10,-7,-2
24586486,-47,47,2037,-10,-8,-3
24606475,-47,45,2033,-11,-8,-3
24626464,-48,45,2036,-10,-7,-2
24646453,-49,45,2035,-10,-7,-2
24666442,-47,47,2034,-11,-8,-3
24686431,-46,45,2035,-11,-7,-3
24706420,-50,48,2036,-12,-6,-3
24726409,-47,48,2035,-12,-7,-2
24746398,-48,48,2038,-10,-7,-2
24766387,-49,46,2038,-11,-8,-2
24786376,-46,48,2033,-11,-8,-2
24806365,-48,48,2037,-10,-7,-3
24826354,-44,46,2036,-10,-8,-2
24846343,-46,47,2036,-10,-7,-2
24866333,-47,44,2036,-11,-7,-3
24886322,-45,43,2037,-10,-8,-3
24906311,-45,49,2037,-10,-8,-3
24926300,-49,49,2040,-10,-8,-2
24946289,-47,46,2036,-10,-8,-2
24966278,-48,42,2035,-11,-9,-2
24986267,-46,47,2037,-11,-7,-3
25006256,-48,49,2032,-10,-7,-3
25026245,-46,45,2034,-10,-8,-3
25046234,-47,47,2036,-10,-7,-2
25066223,-47,47,2035,-11,-8,-2
25086212,-47,47,2038,-10,-8,-3
25106201,-46,46,2036,-10,-9,-2
25126190,-46,47,2036,-12,-8,-2
25146179,-48,45,2035,-10,-8,-3
25166168,-48,47,2032,-10,-8,-3
25186157,-47,46,2036,-10,-7,-4
25206146,-47,47,2036,-11,-6,-2
25226135,-46,48,2034,-11,-8,-3
25246124,-46,47,2037,-10,-8,-2
25266113,-46,44,2035,-10,-7,-3
25286102,-45,44,2038,-11,-7,-2
25306091,-47,48,2040,-10,-6,-3
25326080,-46,48,2037,-11,-8,-2
25346069,-45,48,2032,-11,-8,-2
25366058,-48,48,2032,-11,-7,-3
25386047,-48,45,2036,-10,-8,-2
25406036,-46,47,2039,-12,-7,-2
25426025,-45,45,2039,-11,-8,-3
25446014,-49,43,2034,-10,-7,-3
25466003,-49,47,2032,-10,-7,-3
25485992,-47,47,2036,-10,-7,-2
25505981,-47,46,2034,-12,-8,-2
25525970,-48,45,2032,-11,-8,-2
25545959,-46,47,2039,-11,-7,-4
25565948,-47,50,2035,-11,-7,-3
25585937,-47,47,2033,-10,-7,-3
25605926,-46,46,2035,-10,-8,-3
25625915,-45,50,2036,-11,-8,-3
25645904,-44,47,2035,-10,-6,-3
25665893,-48,47,2036,-10,-6,-2
25685882,-47,47,2034,-10,-8,-2
25705871,-48,50,2032,-11,-8,-3
25725860,-47,49,2034,-10,-8,-3
25745849,-46,49,2038,-11,-8,-3
25765838,-47,47,2037,-11,-7,-3
25785827,-49,45,2037,-11,-7,-2
25805816,-47,47,2035,-10,-8,-3
25825805,-49,45,2034,-10,-8,-3
25845794,-48,46,2037,-10,-8,-3
25865783,-46,49,2039,-10,-7,-3
25885772,-45,48,2036,-11,-7,-3
25905761,-49,48,2037,-10,-7,-2
25925750,-47,48,2033,-10,-7,-2
25945739,-49,46,2032,-10,-9,-3
25965728,-46,43,2036,-12,-8,-3
25985717,-45,46,2036,-10,-7,-3
26005706,-46,48,2034,-10,-7,-3
26025695,-45,48,2034,-11,-8,-1
26045684,-47,44,2034,-10,-7,-2
26065673,-47,46,2037,-11,-7,-3
26085662,-48,44,2040,-12,-8,-2
26105651,-46,50,2036,-11,-8,-2
26125640,-47,46,2035,-12,-7,-3
26145629,-47,43,2035,-11,-8,-3
26165618,-46,45,2039,-10,-8,-3
26185607,-46,47,2040,-10,-8,-3
26205596,-47,46,2033,-11,-8,-2
26225585,-46,47,2036,-10,-8,-2
26245574,-48,50,2036,-11,-8,-3
26265563,-46,51,2036,-11,-7,-3
26285552,-49,45,2038,-11,-7,-3
26305541,-45,44,2036,-11,-8,-3
26325531,-46,47,2037,-10,-8,-3
26345520,-43,47,2035,-11,-7,-3
26365509,-47,48,2034,-11,-7,-3
26385498,-48,49,2034,-10,-7,-2
26405487,-47,44,2037,-11,-7,-2
26425476,-46,46,2038,-9,-7,-2
26445465,-45,44,2037,-11,-8,-3
26465454,-42,42,2035,-11,-9,-3
26485443,-49,47,2035,-11,-7,-2
26505432,-46,49,2038,-11,-6,-2
26525421,-46,44,2038,-11,-8,-2
26545410,-45,45,2034,-11,-8,-3
26565399,-47,49,2034,-12,-8,-3
26585388,-48,46,2036,-11,-8,-2
26605377,-47,46,2037,-10,-7,-3
26625366,-47,46,2035,-9,-8,-3
26645355,-48,47,2037,-11,-8,-3
26665344,-47,48,2038,-10,-8,-2
26685333,-47,46,2032,-10,-7,-3
26705322,-48,43,2033,-10,-6,-2
26725311,-45,46,2034,-11,-7,-3
26745300,-49,47,2036,-11,-7,-3
26765289,-47,48,2037,-11,-7,-3
26785278,-45,46,2038,-10,-7,-2
26805267,-47,45,2033,-11,-8,-3
26825256,-46,48,2035,-10,-7,-3
26845245,-46,44,2039,-9,-7,-2
26865234,-48,44,2036,-11,-6,-3
26885223,-47,47,2036,-11,-8,-3
26905212,-47,48,2040,-10,-7,-3
26925201,-47,45,2037,-11,-7,-3
26945190,-48,46,2034,-11,-7,-3
26965179,-48,47,2038,-10,-9,-3
26985168,-48,47,2032,-10,-8,-2
27005157,-50,48,2036,-11,-8,-3
27025146,-47,45,2037,-11,-7,-4
27045135,-48,49,2031,-11,-7,-2
27065124,-47,46,2031,-10,-8,-3
27085113,-47,48,2037,-11,-8,-3
27105102,-49,45,2036,-12,-8,-3
27125091,-47,47,2031,-10,-7,-3
27145080,-45,50,2036,-11,-7,-3
27165069,-48,48,2036,-11,-7,-2
27185058,-46,49,2035,-10,-7,-2
27205047,-49,47,2032,-10,-8,-3
27225036,-46,44,2034,-11,-8,-2
27245025,-47,47,2035,-11,-8,-3
27265014,-48,50,2036,-10,-7,-2
27285003,-46,48,2040,-11,-7,-3
27304992,-48,45,2034,-11,-8,-2
27324981,-45,46,2038,-11,-8,-3
